Date,Z_Score,Signal,Position
2025-01-02 14:30:00+00:00,-1.8832486287468544,0,0
2025-01-02 15:30:00+00:00,-2.021967431202233,0,0
2025-01-02 16:30:00+00:00,-2.074504323236812,0,0
2025-01-02 17:30:00+00:00,-2.1488333223475626,0,0
2025-01-02 18:30:00+00:00,-2.162187349879048,0,0
2025-01-02 19:30:00+00:00,-2.117515152742377,0,0
2025-01-02 20:30:00+00:00,-2.118542684819159,0,0
2025-01-03 14:30:00+00:00,-2.0916862780630527,0,0
2025-01-03 15:30:00+00:00,-2.0531908105831183,0,0
2025-01-03 16:30:00+00:00,-2.0783700376507968,0,0
2025-01-03 17:30:00+00:00,-2.057911590364368,0,0
2025-01-03 18:30:00+00:00,-2.0634833298434767,0,0
2025-01-03 19:30:00+00:00,-2.1016538448355253,0,0
2025-01-03 20:30:00+00:00,-2.1854337216010387,0,0
2025-01-06 14:30:00+00:00,-2.510797229652633,0,0
2025-01-06 15:30:00+00:00,-2.4275506519201695,0,0
2025-01-06 16:30:00+00:00,-2.427668859973623,0,0
2025-01-06 17:30:00+00:00,-2.501138080352186,0,0
2025-01-06 18:30:00+00:00,-2.5652297777886663,0,0
2025-01-06 19:30:00+00:00,-2.6729311837338736,0,0
2025-01-06 20:30:00+00:00,-2.63322798846599,0,0
2025-01-07 14:30:00+00:00,-2.3497202787882108,0,0
2025-01-07 15:30:00+00:00,-2.530246700847001,0,0
2025-01-07 16:30:00+00:00,-2.5851343351871954,0,0
2025-01-07 17:30:00+00:00,-2.599305108170662,0,0
2025-01-07 18:30:00+00:00,-2.6169136213207604,0,0
2025-01-07 19:30:00+00:00,-2.7076121243125715,0,0
2025-01-07 20:30:00+00:00,-2.657851505585202,0,0
2025-01-08 14:30:00+00:00,-2.5485185878930863,0,0
2025-01-08 15:30:00+00:00,-2.4919995226562355,0,0
2025-01-08 16:30:00+00:00,-2.507329162056613,0,0
2025-01-08 17:30:00+00:00,-2.521591622786117,0,0
2025-01-08 18:30:00+00:00,-2.4284593422296545,0,0
2025-01-08 19:30:00+00:00,-2.353847913158251,0,0
2025-01-08 20:30:00+00:00,-2.324918815874973,0,0
2025-01-10 14:30:00+00:00,-2.7133210466879767,0,0
2025-01-10 15:30:00+00:00,-2.7358508398635437,0,0
2025-01-10 16:30:00+00:00,-2.8113589512976827,0,0
2025-01-10 17:30:00+00:00,-2.7987834940541645,0,0
2025-01-10 18:30:00+00:00,-2.7440854136282833,0,0
2025-01-10 19:30:00+00:00,-2.7182924187846056,0,0
2025-01-10 20:30:00+00:00,-2.684062792979789,0,0
2025-01-13 14:30:00+00:00,-2.625652001044034,0,0
2025-01-13 15:30:00+00:00,-2.532050849191872,0,0
2025-01-13 16:30:00+00:00,-2.4404047992039994,0,0
2025-01-13 17:30:00+00:00,-2.399117203351479,0,0
2025-01-13 18:30:00+00:00,-2.3295067792633968,0,0
2025-01-13 19:30:00+00:00,-2.3510428006001045,0,0
2025-01-13 20:30:00+00:00,-2.421958078943155,0,0
2025-01-14 14:30:00+00:00,-2.4522507400905873,0,0
2025-01-14 15:30:00+00:00,-2.4689071506510984,0,0
2025-01-14 16:30:00+00:00,-2.541245236588624,0,0
2025-01-14 17:30:00+00:00,-2.486603613204618,0,0
2025-01-14 18:30:00+00:00,-2.4086918868771643,0,0
2025-01-14 19:30:00+00:00,-2.375433796628097,0,0
2025-01-14 20:30:00+00:00,-2.267741437788302,0,0
2025-01-15 14:30:00+00:00,-2.1852620003055296,0,0
2025-01-15 15:30:00+00:00,-2.291479091721404,0,0
2025-01-15 16:30:00+00:00,-2.2799173005667357,0,0
2025-01-15 17:30:00+00:00,-2.285472223225293,1,1
